London planetree,192890,28,Alive,Good,3782 BEDFORD AVENUE,Brooklyn,11229,40.60991608,-73.94861133
pin oak,197978,7,Alive,Good,160-001 59 AVENUE,Queens,11365,40.74068684,-73.80826026
,187807,0,Dead,,300 EAST MOSHOLU PARKWAY SOUTH,Bronx,10458,40.87192665,-73.88234856
pin oak,178601,10,Alive,Fair,229 HALES AVENUE,Staten Island,10312,40.53211313,-74.1561806
pin oak,184317,5,Alive,Good,4634 3 AVENUE,Bronx,10458,40.85677447,-73.89097861
red maple,184031,3,Alive,Good,223 EAST 179 STREET,Bronx,10457,40.85091786,-73.90356058
pin oak,200225,8,Alive,Good,565 WEST END AVENUE,Manhattan,10024,40.78993607,-73.97721169
red maple,208974,10,Alive,Good,227 FINLEY AVENUE,Staten Island,10306,40.56103243,-74.10653494
red maple,198146,6,Alive,Good,189 NIPPON AVENUE,Staten Island,10312,40.53936939,-74.19255287
pin oak,198121,8,Alive,Fair,100 EAST 31 STREET,Manhattan,10016,40.74503399,-73.98253015
pin oak,195252,5,Alive,Good,138 WEST 11 STREET,Manhattan,10011,40.73599985,-73.99985935
hedge maple,204355,5,Alive,Good,89 WEST CEDARVIEW AVENUE,Staten Island,10306,40.56785426,-74.13823191
pin oak,205759,26,Alive,Good,22-048 74 STREET,Queens,11370,40.76686765,-73.89540541
pin oak,201654,10,Alive,Good,299 COLUMBIA STREET,Brooklyn,11231,40.68194327,-74.00410729
pin oak,198514,18,Alive,Good,1 MORNINGSIDE DRIVE,Manhattan,10025,40.80230109,-73.9620798
London planetree,203334,11,Alive,Fair,35-021 79 STREET,Queens,11372,40.75088939,-73.88730078
London planetree,200628,25,Alive,Good,147-043 8 AVENUE,Queens,11357,40.793138,-73.81946649
London planetree,186888,15,Alive,Fair,249 EAST MOSHOLU PARKWAY NORTH,Bronx,10467,40.87343706,-73.88088627
London planetree,196373,13,Alive,Good,54 ALLEN STREET,Manhattan,10002,40.71680539,-73.99157275
American elm,209441,5,Alive,Poor,75 FEATHERBED LANE,Bronx,10453,40.84637583,-73.91763219
sycamore maple,206435,26,Alive,Good,2438 EAST 7 STREET,Brooklyn,11235,40.59078486,-73.96280534
London planetree,196080,36,Alive,Good,84-006 124 STREET,Queens,11415,40.7049445,-73.82819499
London planetree,203759,16,Alive,Good,24-015 21 AVENUE,Queens,11105,40.78075207,-73.9120953
London planetree,190359,13,Alive,Fair,1326 3 AVENUE,Manhattan,10021,40.77222448,-73.95894426
American elm,209909,2,Alive,Good,1840 GRAND CONCOURSE,Bronx,10457,40.84810623,-73.90688618
American elm,180295,2,Alive,Good,13 WEST 61 STREET,Manhattan,10023,40.77013009,-73.9829175
London planetree,208373,4,Alive,Good,390 COLUMBUS AVENUE,Manhattan,10024,40.7816172,-73.97558535
London planetree,196205,22,Alive,Good,2348 63 STREET,Brooklyn,11204,40.61288064,-73.97682018
London planetree,192086,28,Alive,Good,8923 RIDGE BOULEVARD,Brooklyn,11209,40.62140476,-74.03492843
London planetree,203550,42,Alive,Good,90-008 69 AVENUE,Queens,11375,40.71316969,-73.85444599
London planetree,203718,12,Alive,Good,20-015 24 STREET,Queens,11105,40.78254676,-73.91102561
London planetree,208832,3,Alive,Poor,237 WILLOUGHBY AVENUE,Brooklyn,11205,40.6922784,-73.96142265
Amur maple,193183,3,Alive,Good,75-009 AUSTIN STREET,Queens,11375,40.71703231,-73.83829722
London planetree,203577,26,Alive,Good,89-003 69 AVENUE,Queens,11375,40.71247961,-73.85501988
London planetree,179477,3,Alive,Poor,290 7 AVENUE,Brooklyn,11215,40.6682313,-73.98073049
London planetree,203386,26,Alive,Good,92-018 70 AVENUE,Queens,11375,40.7126411,-73.85213797
London planetree,189537,18,Alive,Good,53 PROSPECT PARK WEST,Brooklyn,11215,40.6690395,-73.97325313
London planetree,196130,24,Alive,Good,2327 63 STREET,Brooklyn,11204,40.61324054,-73.9772179
London planetree,200676,32,Alive,Good,1020 EAST 16 STREET,Brooklyn,11230,40.62480756,-73.96044298
London planetree,206326,13,Alive,Good,22-058 77 STREET,Queens,11370,40.76679523,-73.89249205
London planetree,204118,11,Alive,Good,125 WEST CEDARVIEW AVENUE,Staten Island,10306,40.56872513,-74.14007849
London planetree,192653,22,Alive,Good,2536 OCEAN PARKWAY,Brooklyn,11223,40.58802014,-73.96632142
London planetree,203592,38,Alive,Good,90-013 69 AVENUE,Queens,11375,40.71338389,-73.8544597
London planetree,189338,18,Alive,Good,88 HALL STREET,Brooklyn,11205,40.69520579,-73.96636478
London planetree,208240,2,Alive,Good,11 WEST 81 STREET,Manhattan,10024,40.78233867,-73.97276286
